annual frequency,total annual claims
0.0363986,0
0.0198721,21.95063348
0.01432,63.2072605
0.0133808,121.8518462
0.015849,181.1097233
0.0171449,237.1875345
0.0169441,291.5314606
0.0159478,344.5800526
0.0147111,396.5357345
0.0137503,449.3562156
0.0131594,503.5283654
0.0250208,583.7233914
0.0232805,694.4266926
0.0216983,802.0718598
0.0204174,909.4897044
0.019157,1012.365279
0.0179658,1119.303058
0.0169017,1224.856476
0.0158439,1330.396717
0.0149474,1435.96185
0.0141165,1540.357353
0.013374,1639.183553
0.0126791,1743.531133
0.0120505,1847.785163
0.0114989,1953.124096
0.0110096,2049.008945
0.0254626,2226.60195
0.0230344,2484.470845
0.0209155,2742.526152
0.0191597,2998.449812
0.0175961,3257.919675
0.0161612,3514.276406
0.0150295,3772.798643
0.0139391,4034.479679
0.0130282,4296.675327
0.0121572,4557.10781
0.0113765,4817.709843
0.0106999,5081.476496
0.0195878,5475.91216
0.0174195,6013.431564
0.0156625,6551.393625
0.0141941,7091.599078
0.0129469,7641.844243
0.0118281,8190.049484
0.0108713,8740.207781
0.0100412,9283.031024
0.0093035,9826.999965
0.008616,10389.35734
0.0155147,11206.35255
0.0136019,12307.73547
0.0120063,13404.9197
0.0106732,14519.12988
0.0095152,15679.08398
0.0198031,17609.92364
0.0158102,20547.03718
0.0129028,23567.75083
0.0108218,26637.06791
0.009265,29789.15767
0.0080134,32943.30777
0.0131354,37651.12834
0.0103034,44026.38345
0.0082545,50318.92397
0.0067446,56678.97526
0.0055981,62940.15578
0.0046852,69278.85681
0.003975,75413.5033
0.0033996,81783.55864
0.002971,88170.53489
0.0026402,94314.78422
0.0043831,103406.0257
0.0034884,116083.7339
0.0050069,134629.4717
0.0033741,160141.0849
0.0024251,184674.5913
0.0018038,207209.5284
0.0013729,230164.3515
0.0010946,252109.3596
0.0008863,273733.2164
0.0011864,303076.1805
0.0011632,350003.5477
0.0007881,404335.3241
0.0005668,457157.6963
0.0004135,508604.2313
0.0004529,572812.9101
0.000394,670449.1344
0.0002586,780337.6148
0.0001793,892889.1183
0.0001349,1003086.274
0.0002489,1207385.892
0.000171,1630069.15
0.0000659,2200723.984
0.0000174,2761682.605
0.0000079,3326198.223
0.000004,3889783.691
0.0000032,4571752.604
0.0000034,6298764.542
0.0000005,12892246.47
